"","id","title","date","loc","loc_clean","loc_geo","lat","lon"
"97","140","Kim Jong Un Guides Ground Test of Jet of High-power Solid-fuel Rocket Engine and Its Cascade Separation ","  2016-03-24","Kim Jong Un Guides Ground Test of Jet of High-power Solid-fuel Rocket Engine and Its Cascade Separation","Missile Test Site","?",NA,NA
"98","141","Kim Jong Un Gives Field Guidance to October 3 Factory under KPA Navy ","  2016-03-22","October 3 Factory under KPA Navy","October 3 Factory, KPA Navy","?",NA,NA
"99","142","Kim Jong Un Again Guides Fire of New Type Large-caliber Multiple Rocket Launching System ","  2016-03-22","Kim Jong Un Again Guides Fire of New Type Large-caliber Multiple Rocket Launching System","Missile Test Site","?",NA,NA
"100","143","Kim Jong Un Guides Landing and Anti-landing Drills of KPA ","  2016-03-21","Kim Jong Un Guides Landing and Anti-landing Drills of KPA","Army Base","?",NA,NA
"101","144","Kim Jong Un Declares Construction of Ryomyong Street ","  2016-03-18","Kim Jong Un Declares Construction of Ryomyong Street","Ryomyong Street","Pyongyang, North Korea","39.0392193","125.7625241"
"102","145","Kim Jong Un Guides Ballistic Rocket's Reentry Environmental Simulation ","  2016-03-15","Kim Jong Un Guides Ballistic Rocket's Reentry Environmental Simulation","Missile Test Site","?",NA,NA
"103","146","Kim Jong Un Watches Ballistic Rocket Launch Drill of Strategic Force of KPA ","  2016-03-11","Kim Jong Un Watches Ballistic Rocket Launch Drill of Strategic Force of KPA","Missile Test Site","?",NA,NA
"104","147","Kim Jong Un Watches KPA Tank Crews' Competition-2016 ","  2016-03-11","Kim Jong Un Watches KPA Tank Crews' Competition-2016","Army Base","?",NA,NA
"105","148","Kim Jong Un Guides Work for Mounting Nuclear Warheads on Ballistic Rockets ","  2016-03-09","Kim Jong Un Guides Work for Mounting Nuclear Warheads on Ballistic Rockets","Missile Test Site","?",NA,NA
"106","149","Kim Jong Un Guides Test-fire of New Multiple Launch Rocket System ","  2016-03-04","Kim Jong Un Guides Test-fire of New Multiple Launch Rocket System","Missile Test Site","?",NA,NA
"107","150","Kim Jong Un Visits Thaesong Machine Factory ","  2016-03-02","Thaesong Machine Factory","Thaesong Machine Factory","Nampo, South Pyongan, North Korea",NA,NA
"108","152","Kim Jong Un Guides Test-fire of Newly Developed Anti-tank Guided Weapon ","  2016-02-27","Kim Jong Un Guides Test-fire of Newly Developed Anti-tank Guided Weapon","Army Base","?",NA,NA
"109","153","Kim Jong Un Enjoys Concert of KPA Military Band ","  2016-02-23","Kim Jong Un Enjoys Concert of KPA Military Band","Army Base","?",NA,NA
"110","154","Kim Jong Un Guides Actual Maneuvers of KPA Large Combined Units ","  2016-02-22","Kim Jong Un Guides Actual Maneuvers of KPA Large Combined Units","Army Base","?",NA,NA
"111","155","Kim Jong Un Watches Flight Drill of KPA Fighter Pilots ","  2016-02-22","Kim Jong Un Watches Flight Drill of KPA Fighter Pilots","Army Air Base","?",NA,NA
"112","158","Kim Jong Un Visits Kumsusan Palace of Sun ","  2016-02-17","Kumsusan Palace of Sun","Kumsusan Palace of Sun","Pyongyang, North Korea","39.0392193","125.7625241"
"113","163","Kim Jong Un Provides Field Guidance to Kim Jong Suk Pyongyang Textile Mill ","  2016-01-28","Kim Jong Suk Pyongyang Textile Mill","Kim Jong Suk Pyongyang Textile Mill","Pyongyang, North Korea","39.0392193","125.7625241"
"114","164","Kim Jong Un Visits Kumkop General Foodstuff Factory for Sportspersons ","  2016-01-23","Kumkop General Foodstuff Factory for Sportspersons","Kumkop General Foodstuff Factory for Sportspersons","Pyongyang, North Korea","39.0392193","125.7625241"
"115","165","Kim Jong Un Visits Newly-built Youth Movement Museum ","  2016-01-20"," Youth Movement Museum","Youth Movement Museum","Pyongyang, North Korea","39.0392193","125.7625241"
"116","168","Kim Jong Un Visits Ministry of People's Armed Forces ","  2016-01-11","Ministry of People's Armed Forces","Ministry of People's Armed Forces","Pyongyang, North Korea","39.0392193","125.7625241"
"117","170","Kim Jong Un Watches Firing Contest of KPA Artillery Units ","  2016-01-05","Kim Jong Un Watches Firing Contest of KPA Artillery Units","Army Base","?",NA,NA
"118","173","Kim Jong Un Visits Kumsusan Palace of Sun ","  2016-01-02","Kumsusan Palace of Sun","Kumsusan Palace of Sun","Pyongyang, North Korea","39.0392193","125.7625241"
